Mã CK ,Sàn ,Ngành ,Cơ Cấu Thu Nhập,Đầu Vào,Sản Xuất,Đầu Ra,Khác
CTR,HOSE,Dịch vụ viễn thông đa dạng,"Cơ cấu doanh thu và lợi nhuận gộp (2022)
Xây lắp
• Doanh thu: 29%.
• Lợi nhuận gộp: 28%.
Vận hành kỹ thuật
• Doanh thu: 54%.
• Lợi nhuận gộp: 43%.
Giải pháp tích hợp
Doanh thu: 11%.
• Lợi nhuận gộp: 9%.
Cho thuê hạ tầng
• Doanh thu: 4%
• Lợi nhuận gộp: 15%.
Dịch vụ kỹ thuật
Doanh thu: 2%.
• Lợi nhuận gộp: 5%.",No data,"Lĩnh vực Đầu tư hạ tầng cho thuê
CTR sở hữu 2.473 trạm BTS (trạm thu phát sóng di động), đứng thứ hai Việt Nam sau OCK TowerCo-Malaysia (2.700
tram).
Các trạm CTR xây dựng hướng đến việc phục vụ mục tiêu xây dựng và chia sẻ/cho thuê hạ tầng 5G (2023).

Mảng xây dựng dân dụng
Nguồn nhân lực dồi dào, chất lượng lên tới 10.000 nhân sự phủ khắp 63 tỉnh thành.

Mảng vận hành khai thác
Đây là mảng kinh doanh trọng yếu và lâu đời của công ty với 25 năm kinh nghiệm, xây dựng hơn 120.000 trạm phát sóng và
vận hành 35.000 trạm.
Tại thị trường nước ngoài, CTR đang kinh doanh chính tại Myanmar, Campuchia và Peru và cũng đồng thời vận hành cho
các đối tác lớn như MNTI, NTD.
Mức độ trưởng thành số của CTR tăng từ 2,1 lên 3,04. (Mức độ trưởng thành số đo lường mức độ số hóa và sẵn sàn chuyển đổi số bao gồm đánh giá trên 6 hạng mục lớn: khách hàng, chiến lược, công nghệ, vận hành, văn hóa, dữ liệu)","Địa bàn hoạt động
63 tỉnh thành trên toàn quốc, bao gồm cả quần đảo Trường Xa và các Nhà giàn.
4 thị trường nước ngoài: Cambodia, Myanmar, Peru, Mozambique","Kế hoạch kinh doanh 2023 và giai đoạn tới
Trả cổ tức bằng cổ phiếu tỷ lệ 10.000:2.151, và 10% bằng tiền trong năm 2023."
CVN,HNX,Vật liệu xây dựng,,,,,
DL1,HNX,Đường bộ và đường sắt,,,,,
DLG,HOSE,Giấy và lâm sản,"Cơ cấu doanh thu (2022)
- Bán linh kiện điện tử (90,8%)
- Bán đá (3,3%)
- Bản điện thương phẩm (5,3%)
- Khác (0,6%)

Cơ cấu lợi nhuận gộp (2022)
- Bán linh kiện điện tử (68%)
- Bản đá (0,5%)
- Bán điện thương phẩm (31,4%)
- Khác (0,1%)",,"Năng lực sản xuất
- Lĩnh vực liên kiện điện tử: gồm 3 NM như NM Ansen tại tỉnh Quảng Đông - Trung Quốc; NM tại thành phố Seoul, Hàn Quốc; NM tại Khu công nghệ cao-Q9.
- Lĩnh vực năng lượng: phát triển 8 dự án thủy điện tại khu vực Tây Nguyên. Hiện Tập đoàn đã đầu tư xây dựng 4 dự án lớn bao gồm: Dự án thủy điện Tân Thượng, Tà Nung (Lâm Đồng), thủy điện Đăk Pô Cô, Đăk Psi(Kon Tum).","Hoạt động kinh doanh chính
- Lĩnh vực cơ sở hạ tầng: chủ yếu là dự án BOT tại các tỉnh khu vực Tây Nguyên với các tỉnh phía Nam.
- Lĩnh vực linh kiện điện tử: phục vụ xuất khẩu sang các thị trường như Mỹ, Châu Âu với các khách hàng truyền thống như: Honeywell, Whirpool, Azad, ADV..
- Năng lượng: chú trọng vào hoạt động khai thác năng lượng thủy điện, điện gió và điện mặt trời.
- Bất động sản: sở hữu nhiều quỹ đất lớn, nằm ở các vị trí đắc địa như TP.HCM, Đà Nẵng…, tập trung vào 3 dòng sản phẩm: Bất động sản truyền thống như Chung cư, biệt thự, nhà liền kề; Bất động sản 2 trong 1 như shop-house, officetel; và bất động sản nghỉ dưỡng như biệt thự nghỉ dưỡng
- Nông nghiệp: Sở hữu hàng chục ngàn ha đất đạt tiêu chuẩn cùng những ưu thế vượt trội về vị trí địa lý, điều kiện khí hậu, thổ nhưỡng

Thị trường tiêu thụ:
- Nội địa: mạng lưới kinh doanh rộng khắp cả nước
- Nước ngoài: mở rộng đầu tư kinh doanh sang Trung Quốc, Hồng Kong, Hàn Quốc và các nước ĐNA khác. Các sản phẩm gỗ và linh kiện điện tử: mang thương hiệu DLG xuất khẩu sang các nước Mỹ, Châu Âu, Châu Mỹ","Mục tiêu trung và dài hạn
Tiếp tục kiên định với ngành nghề chiến lược giai đoạn 2022-
2025
Năng lượng:
- Đẩy mạnh đầu tư năng lượng (thủy điện, điện gió và điện mặt trời) tại các khu vực Đức Long Gia Lai.
- Tập đoàn đang triển khai đồng loạt các dự án năng lượng và đầu tư TBA 500kV với công suất gần 4 nghìn MW (trong đó, 900MW điện gió, 2600MW điện mặt trời, 260 MW thủy điện) tại các tỉnh Tây Nguyên, Miền Trung

Sản xuất linh kiện điện tử:
- Phát triển và mở rộng quy mô tại thị trường nước ngoài.
- Hiện công ty đang mở rộng đầu tư thêm 2 nhà máy sản xuất linh kiện tại Bình Dương và TP.Đà Nẵng

Cơ sở hạ tầng:
- Tham gia đầu thầu các dự án lớn và đầu tư kinh doanh các khu dân cư từ nguồn đất được giao, các dự án giao thông đường bộ, đường sắt,..s
- Bất động sản đa sản phẩm: Khai thác một chuỗi dự án với dòng sản phẩm đa dạng như: Chung cư cao cấp kết hợp thương mại dịch vụ, du lịch nghỉ dưỡng kết hợp khách sạn cao cấp,... tại thành phố Gia Lai, Kon Tum,...
- Nông nghiệp công nghệ cao: Phát triển dự ấn sân golf, khách sạn, khu du lịch,... tại tỉnh Gia Lai, Kon Tum, Bình Định,..."
DMC,HOSE,Dược phẩm,"Cơ cấu doanh thu (2022)
- Thành phẩm (53,6%)
- Hàng hóa (46,7)","Nguyên vật liệu
- Dược liệu (API) chiếm 80-90% chi phí nguyên liệu, Tá dược
- Nhập khẩu: khoảng 80-90% chủ yếu ở thị trường Trung Quốc và Ấn Độ
- Chi phí sx: API chiếm 80% đến 90%

Nguyên vật liệu khác
Nang rỗng, Nhãn thuốc, Tờ hướng dẫn sử dụng,...","Nhà máy sản xuất
3 NM sản xuất dược phẩm đạt chuẩn WHO-GMP, 1 NM chiết xuất và sản xuất thuốc có nguồn gốc từ Dược liệu đạt tiêu chuẩn GMP-WHO, 1 NM sản xuất thực phẩm bảo vệ sức khỏe đạt tiêu chuẩn GMP 
- NM Penicilin: CSTK 250 triệu đvsp-sx thuốc dạng rắn Non Betalactam
- NM Cephalosporin: CSTK 200 triệu đvsp-sx thuốc dạng rắn Non-Betalactam 
- NM sx thực phẩm chức năng và nước giải khát: CSTK 50 triệu đvsp-sx thuốc dạng lỏng Betalactam
- NM sx dược liệu: CSTK 250 tấn năm-sx viên nang mềm
- 1 trung tâm: sản xuất và phát triển một số sản phẩm khác như dược liệu, cồn, nước đóng chai,..","Sản phẩm chính
- Kháng sinh, Giảm đau-Hạ sốt, Hô hấp, Khác (chuyên về tim mạch). Thế mạnh của DMC là bán thuốc đặc trị (có kê toa) cho bệnh tim mạch, tiểu đường, béo phì và hướng đến khách hàng có thu nhập trung bình
- Thành phẩm: 300 loại tân dược, thuốc từ dược liệu và thực phẩm bảo vệ sức khỏe.
- 07 dạng bào chế: viên nén, viên bao phim, viên bao đường, viên nang cứng, viên nang mềm, viên sủi và thuốc gói.

Thị trường tiêu thụ (2022)
- Bán lẻ: phục vụ hơn 24 nghìn nhà thuốc, quầy thuốc
- Bệnh viện: hơn 750 bệnh viện, cơ sở khám, chữa bệnh
- Xuất khẩu: 120 sản phẩm tới 13 quốc gia (chủ yếu ĐNA, Nam Mỹ như Myanmar, Philippiines, Peru,...","Kế hoạch kinh doanh 2023 và giai đoạn tới
Kế hoạch phân phối lợi nhuận 2022: cổ tức 25% bằng tiền.
SCIC dự kiến sẽ thoái vốn tại DMC trong giai đoạn tới."
DRC,HOSE,Linh kiện ô tô,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
Săm lốp, yếm ôtô
• Doanh thu: 86,93%.
• Lợi nhuận gộp: 87,65%.
Săm lốp xe máy
• Doanh thu: 7,34%.
• Lợi nhuận gộp: 5,99%.
Săm lốp xe đạp
• Doanh thu: 5,43%.
• Lợi nhuận gộp: 5,15%.
Sản phẩm khác: Cao su kỹ thuật, vật tư, phế phẩm ...
• Doanh thu: 0,3%.
• Lợi nhuận gộp: 1,21%.

Cơ cấu doanh thu và lợi nhuận gộp theo thị trường (2022)
Nội địa (40,47%); Nội địa (59,53%).","Nguyên vật liệu (80% giá vốn của DRC)
• Cao su thiên nhiên (31%).
• Cao su tổng hợp (13%).
• Hóa chất (17%).
• Vải mành (11%).
• Than đen (17%).
• Thép tanh (8%).
Khác (3%).","Nhà máy sản xuất
- Săm lốp ô tô: 1.38 triệu lốp/năm
 + Nhà máy Lốp Radial toàn thép (lốp xe tải, công trình): 600 nghìn lốp/năm
 + Nhà máy Lốp Bias: 780 nghìn lốp/năm
- Săm lốp xe máy: 4 triệu lốp/năm
- Săm lốp xe đạp: 9 triệu lốp/năm","Thị trường xuất khẩu
- Thị trường tiêu thụ chính: Mỹ, Canada, Brazil ...
- Trên thị trường Mỹ và EU cạnh tranh với doanh nghiệp Trung Quốc

Thị trường trong nước
Có hơn 107 đại lý cấp 1, qua kênh OEM khá hiệu quả","Kế hoạch 2023
Cổ tức năm 2022 dự kiến 18% bằng tiền

Dự án
Mở rộng nhà máy sản xuất lốp xe tải Radial:
• Tiến độ thực hiện dự án từ quý I/2022 đến quý II/2024. Tổng mức đầu tư là 916.083 tỷ đồng, trong đó vốn vay (65%) và vốn tự có (35%)
• Năm 2023, CSTK của nhà máy sẽ đạt 750 nghìn lốp xe
• Năm 2024, CSTK của nhà máy sẽ đạt 1 triệu lốp xe"
DRH,HOSE,Quản lý và Phát triển bất động sản,,,,,
DRI,UPCOM,Giấy và lâm sản,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
Thành phẩm mủ cao su
• Doanh thu: 98,48%.
• Lợi nhuận gộp: 100,86%.
Bán chuối
• Doanh thu: 0,8%.
• Lợi nhuận gộp: -0,88% (Lỗ 1,79 tỷ).
Bản Điều
• Doanh thu: 0,72%.
• Lợi nhuận gộp: 0,02%.

Cơ cấu doanh thu theo thị trường (2022)
Việt Nam (36,27%); Mỹ (17,44%); Đài Loan (16,57%); Hàn Quốc (9,78%); Ấn Độ (5,77%); Khác (14,17%).","Diện tích đất khai thác
Sở hữu 8.81 nghìn ha, trong đó:
- Diện tích đất khai thác cao su hơn 8.632 nghìn
- Sản lượng khai thác: 15.439 nghìn tấn, 497.58 ha điều và 17.65 ha bạch đàn","Năng lực sản xuất
1 nhà máy chế biến mủ với công suất 18 nghìn tấn/năm","Sản lượng tiêu thụ (2022)
Cao su (14.330,26 tấn)
- Xuất khẩu: 9.132,32 tấn, chiếm 63,73 % tổng lượng hàng xuất bản.
- Xuất bản nội địa: 5.197,94 tấn, chiếm 36,27% tổng lượng hàng xuất bản
- Thị trường xuất khẩu chính: Mỹ, Hàn Quốc, Đài Loan, Ý, Tây Ban Nha, Đức,....",No data
DSN,HOSE,"Khách sạn, nhà hàng và giải trí",,,,,
DST,HNX,Kỹ thuật xây dựng,,,,,
DTD,HNX,Quản lý và Phát triển bất động sản,,,,,
